Time,CL,CK,CS,Clung
0.5,3355.015406,102.7045532,3594.659363,273.8788086
4,2464.909278,171.1742554,4108.18213,410.8182129
24,5819.924683,,7120.849024,68.46970216
168,2944.197193,,5682.98528,68.46970216
720,2978.432044,,3320.780555,171.1742554
2160,3971.242725,,9996.576515,34.23485108
4320,5237.932215,,10236.22047,205.4091065
,,,,
,,,,
,,,,
,4024.449878,,4625.91687,371.6381418
,3378.973105,254.2787286,5476.772616,518.3374083
,5887.530562,,7765.281174,63.56968215
,3980.440098,,6635.696822,63.56968215
,3320.293399,,3378.973105,151.5892421
,4141.809291,,11271.39364,78.2396088
,5139.364303,,10728.60636,224.9388753
