Time,CL,CK,CS,CB,Clung
0.5,471.6981132,1394.585726,1150.895141,208.7222222,1271.534044
4,717.8014766,1210.008203,1534.526854,156.5416667,963.90484
24,1579.163249,1056.193601,5306.90537,104.3611111,994.6677605
168,7824.036095,748.564397,47826.08695,130.4513889,471.6981132
720,7454.88105,348.6464315,23913.04348,2.125,471.6981132
2160,6408.941756,348.6464315,15217.39131,2.125,287.1205906
4320,3240.360952,50.73919753,10326.08696,2.125,61.99176955
,,,,,
,,,,,
,668.8311688,1342.532468,1331.168831,,1253.246753
,766.2337662,1193.722944,1720.779221,,980.5194805
,2402.597403,1058.441558,6240.25974,,980.5194805
,7623.376623,760.8225108,47109.375,,493.5064935
,7545.454545,354.978355,24140.625,,474.025974
,6103.896104,354.978355,24843.75,,246.7532468
,3279.220779,57.35930736,11718.75,,57.35930736
