,value,scale,L1,L2,Mean,Mean,Min,Max,N
K_release_Spleen,-5.80914299,-5.80914299,4285235.308,14932856.43,4284891.069,4284891.069,-2200001.054,112513618.6,172808
DLC_Kidney,-6.907755279,-6.907755279,3788050.409,13202700.21,3787741.852,3787741.852,-1945394.257,99212278.84,172808
K_release_Lung,-5.298317367,-5.298317367,3223009.25,11233987.13,3222584.644,3222584.644,-7072894.356,86193697.56,172808
K_50_Spleen,3.17805383,3.17805383,3129435.712,10912011.23,-3129169.837,3129169.837,-111724008.1,1911714.681,172808
DLC_Lung,-6.907755279,-6.907755279,3128068.384,10906941.62,3127804.581,3127804.581,-1876777.018,108219668.4,172808
K_max_Liver,1.386294361,1.386294361,3044013.766,10612600.81,-3043759.568,3043759.568,-96352120.53,1741434.764,172808
DLC_Brain,-13.81551056,-13.81551056,2917717.366,10170361.75,2917371.038,2917371.038,-4590306.692,85015110.26,172808
P_Kidney,-1.897119985,-1.897119985,2677929.545,9332534.544,2677714.833,2677714.833,-1338400.669,68308093.06,172808
n_Lung,-2.302585093,-2.302585093,2257794.234,7869448.788,2257610.837,2257610.837,-1180246.999,61008365.05,172808
P_Lung,-1.897119985,-1.897119985,2165938.525,7553528.202,2165627.085,2165627.085,-5607323.944,96670296,172808
K_50_Liver,3.17805383,3.17805383,2067874.441,7212704.08,-2067695.632,2067695.632,-80962253.73,1335480.046,172808
n_Kidney,-2.302585093,-2.302585093,1998153.736,6968120.366,1997884.541,1997884.541,-4387757.459,88997211.23,172808
n_Spleen,-2.302585093,-2.302585093,1934745.547,6745922.094,1934579.976,1934579.976,-1174434.837,67311311.33,172808
n_Liver,-2.302585093,-2.302585093,1568058.083,5467098.154,1567319.503,1567319.503,-16391027.83,59512633.13,172808
K_max_Spleen,2.302585093,2.302585093,1350161.656,4715514.68,-1350036.305,1350036.305,-80294137.72,1307592.192,172808
P_Liver,-2.525728644,-2.525728644,1278114.78,4462764.644,1277991.143,1277991.143,-1088224.561,76681107.6,172808
K_max_Lung,-2.302585093,-2.302585093,1109696.951,3873632.549,1109597.608,1109597.608,-877961.8348,62813973.23,172808
Kbile,-6.725433722,-6.725433722,1047004.728,3652920.479,1046796.966,1046796.966,-5036332.233,45580355.82,172808
K_50_Lung,3.17805383,3.17805383,994459.6667,3469518.793,-994048.9914,994048.9914,-62874235.31,13067937.47,172808
DLC_Liver,-6.907755279,-6.907755279,933697.7748,3259690.94,-933612.9507,933612.9507,-50350879.52,784137.8556,172808
P_Rest,-1.897119985,-1.897119985,913920.9113,3186650.54,-913491.9275,913491.9275,-33700107.07,13097407.24,172808
K_max_Kidney,-2.302585093,-2.302585093,871510.6118,3036118.486,-870071.5642,870071.5642,-23779331.91,22470439.26,172808
DLC_Spleen,-6.907755279,-6.907755279,865281.8702,3020597.591,865206.0148,865206.0148,-723076.5086,53694809.27,172808
K_50_Kidney,3.17805383,3.17805383,751373.2192,2618873.226,750559.2431,750559.2431,-16760568.75,29748017.41,172808
P_Spleen,-1.897119985,-1.897119985,703404.4758,2454354.371,703342.2524,703342.2524,-511497.184,32716858.47,172808
Kurine,-9.028018815,-9.028018815,620745.4068,2188176.134,620383.2388,620383.2388,-11985476.16,73228354.02,172808
K_release_Liver,-4.892852258,-4.892852258,396563.1076,1406850.798,396492.221,396492.221,-729388.3601,55806591.61,172808
DLC_Rest,-13.81551056,-13.81551056,380000.8009,1334645.686,379836.3657,379836.3657,-4174156.599,40440872.53,172808
K_release_Kidney,-4.605170186,-4.605170186,321501.2009,1137344.539,-319605.8281,319605.8281,-33582819.51,27945430.38,172808
P_Brain,-1.897119985,-1.897119985,127126.4734,448214.9117,126831.9112,126831.9112,-11021653.74,15104452.62,172808
