"","psrf.Point.est.","psrf.Upper.C.I."
"K_release_Liver",1.81764740319372,3.65518227045857
"K_max_Liver",1.03001268256239,1.07701518293856
"K_50_Liver",2.31422164803044,4.30415899621421
"n_Liver",1.66032548655186,2.87102622077136
"K_release_Spleen",1.16007460097544,1.44180045551789
"K_max_Spleen",1.42001363597547,2.12310692182614
"K_50_Spleen",1.79319040713847,3.18114253289375
"n_Spleen",1.0681910728516,1.17521256110421
"K_release_Kidney",4.22857505274458,7.56302780847711
"K_max_Kidney",1.47375890762956,2.50841850963238
"K_50_Kidney",1.54124590107864,2.6758945152922
"n_Kidney",1.93728039519233,3.25796007119701
"K_release_Lung",1.43774370405455,2.02157691744415
"K_max_Lung",1.24481306637028,1.64697946406984
"K_50_Lung",1.24912494308005,1.69913544795473
"n_Lung",2.56622169208617,4.69834373833696
"P_Liver",2.02660676877009,3.31478227789139
"P_Brain",3.58876907241737,7.12303482762541
"P_Kidney",1.40388998438103,2.17685575982766
"P_Spleen",1.30657123070336,1.90689042382949
"P_Lung",2.01715357005536,3.41625572856357
"P_Rest",1.88451070156954,3.63205936693959
"DLC_Liver",1.31884889140842,1.90768133936509
"DLC_Brain",2.42441198323029,4.46466462420468
"DLC_Kidney",1.30034907839355,1.89133383603156
"DLC_Spleen",2.70024670304729,5.17281154645301
"DLC_Lung",1.33311984710234,1.96725057219434
"DLC_Rest",2.70254872870822,5.66548168653632
"Kbile",1.13455222943197,1.39239850845249
"Kurine",2.09632269527325,4.70043237046724
"sig2",1.68439748654997,2.56447934780759
"sig_K_release_Liver",1.3922356579341,1.96459650593749
"sig_K_max_Liver",1.29481034736768,1.75337498649175
"sig_K_50_Liver",2.80752947174063,5.13846898401408
"sig_n_Liver",1.02456368347776,1.07331694495099
"sig_K_release_Spleen",2.08739823277869,3.51155827355063
"sig_K_max_Spleen",1.17467463741514,1.44702573655455
"sig_K_50_Spleen",1.88358899928293,3.01637611932405
"sig_n_Spleen",1.62082340281884,2.44752342938691
"sig_K_release_Kidney",2.34753593394734,4.31276969287833
"sig_K_max_Kidney",2.22952603229761,3.83212635611021
"sig_K_50_Kidney",1.47379489691178,2.14116594511392
"sig_n_Kidney",2.11070884029418,3.48884142898707
"sig_K_release_Lung",1.38960948012128,1.94914647207293
"sig_K_max_Lung",1.45351029282792,2.07061744285166
"sig_K_50_Lung",1.91773846933006,3.15212938692724
"sig_n_Lung",2.33276367882385,4.17425720146093
"sig_P_Liver",1.12504303632928,1.33278391056018
"sig_P_Brain",1.23194440941875,1.58440352202102
"sig_P_Kidney",2.38549380136345,4.25343475631627
"sig_P_Spleen",1.36492955057408,1.88772227760926
"sig_P_Lung",2.52578555050229,4.30250768112011
"sig_P_Rest",1.22827592537518,1.59775231134501
"sig_DLC_Liver",1.28634424452631,1.69504737184413
"sig_DLC_Brain",1.8443911658153,2.98331871548344
"sig_DLC_Kidney",1.25935898629864,1.64409299705857
"sig_DLC_Spleen",1.45614457376359,2.10912386050851
"sig_DLC_Lung",2.37793688462406,4.49773284492789
"sig_DLC_Rest",1.15435759300585,1.41353177026257
"sig_Kbile",1.70917145765864,2.74002103288355
"sig_Kurine",1.91095063992819,3.29023468979182
